:(batters)DONT CHANGE,lineup# DONT CHANGE,Name,Stance,BA,HR,Contact,Power,Speed,FieldingPos,Switch,,,
33,8,N.Ahmed,0,254,19,20,806,128,1,0,,,
33,9,A.Jones,0,260,16,19,788,122,2,0,,,
33,10,I.Vargas,0,269,6,17,738,122,1,1,,,
33,11,Locastro,0,250,1,21,710,134,2,0,,,
33,12,J.Lamb,1,193,6,28,735,122,1,0,,,
33,13,J.Rojas,1,217,2,25,715,122,2,0,,,
34,0,J.Villar,0,274,24,17,833,144,1,1,,,
34,1,Santande,0,261,20,19,816,120,2,1,,,
34,2,R.Nunez,0,244,31,21,868,120,1,0,,,
34,3,Mancini,0,291,35,14,897,122,2,0,,,
34,4,Alberto,0,305,12,11,769,123,1,0,,,
34,5,Severino,0,249,13,21,774,122,0,0,,,
34,6,C.Sisco,1,210,8,26,745,120,0,0,,,
34,7,D.Smith,1,241,13,22,772,125,2,0,,,
34,8,Stewart,1,238,4,22,725,120,2,0,,,
34,9,R.Ruiz,1,232,12,23,764,120,1,0,,,
34,10,Wilkerso,0,225,10,24,754,122,2,1,,,
34,11,Rickard,0,203,2,27,715,122,2,0,,,
34,12,C.Davis,1,179,12,30,764,120,1,0,,,
34,13,R.Martin,0,208,6,27,735,129,1,0,,,
35,0,Anderson,0,335,18,5,810,129,1,0,,,
35,1,Moncada,0,315,25,9,849,128,1,1,,,
35,2,Jimenez,0,267,31,18,875,121,2,0,,,
35,3,J.Abreu,0,284,33,15,883,122,1,0,,,
35,4,J.McCann,0,273,18,17,804,123,0,0,,,
35,5,A.Engel,0,242,6,22,735,122,2,0,,,
35,6,Castillo,0,209,12,26,768,120,0,0,,,
35,7,L.Garcia,0,279,8,16,745,129,2,1,,,
35,8,R.Goins,1,250,2,21,715,120,1,0,,,
35,9,Cordell,0,221,7,25,740,122,2,0,,,
35,10,Sanchez,0,252,2,20,715,123,1,1,,,
35,11,J.Jay,1,267,0,18,705,120,2,0,,,
35,12,C.Tilson,1,229,1,24,710,123,2,0,,,
35,13,Y.Alonso,1,178,7,30,740,120,1,0,,,
36,0,Simmons,0,264,7,18,740,126,1,0,,,
36,1,LaStella,1,295,16,13,797,120,1,0,,,
36,2,Goodwin,1,262,17,19,800,125,2,0,,,
36,3,M.Trout,0,291,45,14,958,128,2,0,,,
36,4,Calhoun,1,232,33,23,879,123,2,0,,,
36,5,A.Pujols,0,244,23,21,824,123,1,0,,,
36,6,Fletcher,0,290,6,14,735,126,1,0,,,
36,7,J.Upton,0,215,12,26,768,120,2,0,,,
36,8,M.Thaiss,1,211,8,26,749,120,1,0,,,
36,9,K.Smith,0,251,5,20,730,122,0,0,,,
36,10,Rengifo,0,238,7,22,740,121,1,1,,,
36,11,J.Lucroy,0,242,7,22,740,120,0,0,,,
36,12,J.Bour,1,172,8,31,745,120,1,0,,,
36,13,Z.Cozart,0,124,0,35,705,120,1,0,,,
37,0,J.Berti,0,273,6,17,737,131,1,0,,,
37,1,Anderson,0,261,20,19,815,124,1,0,,,
37,2,G.Cooper,0,281,15,15,787,120,1,0,,,
37,3,S.Castro,0,270,22,17,820,123,1,0,,,
37,4,N.Walker,0,261,8,19,745,123,1,1,,,
37,5,J.Alfaro,0,262,18,19,799,122,0,0,,,
37,6,Ramirez,0,276,11,16,763,122,2,0,,,
37,7,M.Rojas,0,284,5,15,730,124,1,0,,,
37,8,A.Dean,0,225,6,24,736,119,2,0,,,
37,9,Granders,1,183,12,30,764,119,2,0,,,
37,10,J.Riddle,1,189,6,29,735,120,2,0,,,
37,11,I.Diaz,1,173,5,31,730,120,1,0,,,
37,12,M.Prado,0,233,2,23,715,120,1,0,,,
37,13,Brinson,0,173,0,31,705,121,2,0,,,
38,0,Y.Puig,0,252,22,20,825,128,2,0,,,
38,1,A.Aquino,0,259,19,19,822,126,2,0,,,
38,2,J.Winker,1,269,16,17,796,120,2,0,,,
38,3,E.Suarez,0,271,49,17,970,122,1,0,,,
38,4,P.Ervin,0,271,7,17,750,124,2,0,,,
38,5,Dietrich,1,187,19,29,809,122,1,0,,,
38,6,J.Votto,1,261,15,19,782,125,1,0,,,
38,7,N.Senzel,0,256,12,20,770,129,2,0,,,
38,8,C.Casali,0,251,8,20,747,120,0,0,,,
38,9,VanMeter,1,237,8,23,747,126,2,0,,,
38,10,Iglesias,0,288,11,14,762,124,1,0,,,
38,11,Barnhart,0,231,11,23,759,121,0,1,,,
38,12,K.Farmer,0,230,9,24,752,123,1,0,,,
38,13,J.Peraza,0,239,6,22,735,122,1,0,,,
39,0,T.Story,0,294,35,13,899,134,1,0,,,
39,1,Hilliard,1,273,7,17,771,123,2,0,,,
39,2,Blackmon,1,314,32,9,887,123,2,0,,,
39,3,Arenado,0,315,41,9,932,122,1,0,,,
39,4,D.Dahl,1,302,15,12,797,124,2,0,,,
39,5,Desmond,0,255,20,20,816,124,2,0,,,
39,6,D.Murphy,1,279,13,16,778,121,1,0,,,
39,7,McMahon,1,250,24,21,832,124,1,0,,,
39,8,Iannetta,0,222,6,25,738,120,0,0,,,
39,9,R.Tapia,1,275,9,16,753,128,2,0,,,
39,10,Hampson,0,247,8,21,745,131,1,0,,,
39,11,Wolters,1,262,1,19,710,120,0,0,,,
39,12,Reynolds,0,170,4,31,725,122,1,0,,,
39,13,Y.Daza,0,206,0,27,705,122,2,0,,,
40,0,M.Betts,0,295,29,13,866,133,2,0,,,
40,1,Bogaerts,0,309,33,10,889,122,1,0,,,
40,2,R.Devers,1,311,32,10,884,126,1,0,,,
40,3,Martinez,0,304,36,11,904,123,2,0,,,
40,4,Moreland,1,252,19,20,814,122,1,0,,,
40,5,Vazquez,0,276,23,16,831,122,0,0,,,
40,6,Beninten,1,266,13,18,775,128,2,0,,,
40,7,B.Holt,1,297,3,12,721,122,1,0,,,
40,8,M.Chavis,0,254,18,20,802,122,1,0,,,
40,9,Bradley,1,225,21,24,813,123,2,0,,,
40,10,S.Travis,0,215,6,26,735,122,1,0,,,
40,11,Hernande,1,250,2,21,715,120,1,0,,,
40,12,E.Nunez,0,228,2,24,715,123,1,0,,,
40,13,S.Leon,0,192,5,29,730,120,0,1,,,
41,0,Ramirez,0,255,23,20,831,136,1,1,,,
41,1,J.Luplow,0,276,15,16,800,122,2,0,,,
41,2,F.Lindor,0,284,32,15,880,134,1,1,,,
41,3,Santana,0,281,34,15,890,124,1,1,,,
41,4,Y.Puig,0,297,2,12,720,123,2,0,,,
41,5,T.Naquin,1,288,10,14,765,122,2,0,,,
41,6,F.Reyes,0,237,10,23,765,120,2,0,,,
41,7,R.Perez,0,239,24,22,832,120,0,0,,,
41,8,Mercado,0,269,15,17,787,130,2,0,,,
41,9,Freeman,1,277,4,16,725,120,1,0,,,
41,10,J.Kipnis,1,245,17,21,792,125,1,0,,,
41,11,J.Bauers,1,226,12,24,764,122,2,0,,,
41,12,G.Allen,0,229,4,24,725,127,2,1,,,
41,13,L.Martin,1,199,9,28,750,122,2,0,,,
42,0,Marisnic,0,233,10,23,757,127,2,0,,,
42,1,Alvarez,1,313,27,9,870,120,2,0,,,
42,2,Springer,0,292,39,13,923,125,2,0,,,
42,3,Bregman,0,296,41,13,933,124,1,0,,,
42,4,C.Correa,0,279,21,16,831,122,1,0,,,
42,5,J.Altuve,0,298,31,12,879,122,1,0,,,
42,6,Gurriel,0,298,31,12,878,123,1,0,,,
42,7,Brantley,1,311,22,10,829,122,2,0,,,
42,8,A.Diaz,0,271,9,17,760,122,1,0,,,
42,9,Chirinos,0,238,17,22,797,120,0,0,,,
42,10,Reddick,1,275,14,16,777,124,2,0,,,
42,11,T.Kemp,1,227,7,24,743,122,1,0,,,
42,12,M.Straw,0,269,0,17,705,127,1,0,,,
42,13,T.White,0,225,3,24,720,120,1,0,,,
43,0,Rosario,0,287,15,14,785,131,1,0,,,
43,1,J.McNeil,1,318,23,8,837,122,2,0,,,
43,2,J.Davis,0,307,22,11,832,123,2,0,,,
43,3,P.Alonso,0,260,53,19,991,122,1,0,,,
43,4,D.Smith,1,282,11,15,777,120,1,0,,,
43,5,Conforto,1,257,33,19,882,125,2,0,,,
43,6,B.Nimmo,1,221,8,25,747,123,2,0,,,
43,7,Frazier,0,251,21,20,816,121,1,0,,,
43,8,W.Ramos,0,288,14,14,778,121,0,0,,,
43,9,R.Cano,1,256,13,20,775,120,1,0,,,
43,10,J.Panik,1,277,2,16,717,120,1,0,,,
43,11,Hechavar,0,204,5,27,730,122,1,0,,,
43,12,Lagares,0,213,5,26,730,123,2,0,,,
43,13,T.Nido,0,191,4,29,725,120,0,0,,,
44,0,L.Cain,0,260,11,19,759,128,2,0,,,
44,1,K.Hiura,0,303,19,11,822,126,1,0,,,
44,2,E.Thames,1,247,25,21,844,122,1,0,,,
44,3,C.Yelich,1,329,44,6,956,142,2,0,,,
44,4,R.Braun,0,285,22,15,829,129,2,0,,,
44,5,Grandal,0,246,28,21,854,124,0,1,,,
44,6,Moustaka,1,254,35,20,895,123,1,0,,,
44,7,Grisham,1,231,6,23,737,122,2,0,,,
44,8,M.Pina,0,228,7,24,743,120,0,0,,,
44,9,B.Gamel,1,248,7,21,740,121,2,0,,,
44,10,Aguilar,0,225,8,24,745,120,1,0,,,
44,11,H.Perez,0,228,8,24,745,123,1,0,,,
44,12,O.Arcia,0,223,15,25,779,123,1,0,,,
44,13,T.Shaw,1,157,7,32,740,120,1,0,,,
45,0,C.Taylor,0,262,12,19,774,128,2,0,,,
45,1,D.Freese,0,315,11,9,785,120,1,0,,,
45,2,W.Smith,0,253,15,20,802,122,0,0,,,
45,3,Bellinge,1,305,47,11,967,129,2,0,,,
45,4,M.Muncy,1,251,35,20,895,123,1,0,,,
45,5,J.Turner,0,290,27,14,854,122,1,0,,,
45,6,Pederson,1,249,36,21,902,122,2,0,,,
45,7,Verdugo,1,294,12,13,776,124,2,0,,,
45,8,C.Seager,1,272,19,17,812,122,1,0,,,
45,9,Pollock,0,266,15,18,790,124,2,0,,,
45,10,M.Beaty,1,265,9,18,759,125,1,0,,,
45,11,Hernande,0,237,17,23,792,124,1,0,,,
45,12,R.Martin,0,220,6,25,735,121,0,0,,,
45,13,A.Barnes,0,203,5,27,730,123,0,0,,,
46,0,Gardner,1,251,28,20,859,130,2,0,,,
46,1,A.Judge,0,272,27,17,858,122,2,0,,,
46,2,LeMahieu,0,327,26,7,850,124,1,0,,,
46,3,G.Torres,0,278,38,16,912,123,1,0,,,
46,4,Urshela,0,314,21,9,828,120,1,0,,,
46,5,Tauchman,1,277,13,16,784,126,2,0,,,
46,6,C.Maybin,0,285,11,15,773,123,2,0,,,
46,7,Encarnac,0,249,13,21,788,120,1,0,,,
46,8,L.Voit,0,263,21,18,819,120,1,0,,,
46,9,Sanchez,0,232,34,23,891,120,0,0,,,
46,10,Frazier,0,267,12,18,778,120,2,0,,,
46,11,A.Hicks,0,235,12,23,772,120,2,1,,,
46,12,A.Romine,0,281,8,15,751,120,0,0,,,
46,13,Gregoriu,1,238,16,22,791,122,1,0,,,
47,0,Goodrum,0,248,12,21,769,130,1,1,,,
47,1,Castella,0,273,11,17,769,122,2,0,,,
47,2,V.Reyes,0,304,3,11,726,128,2,1,,,
47,3,B.Dixon,0,248,15,21,786,125,1,0,,,
47,4,J.Mercer,0,270,9,17,756,120,1,0,,,
47,5,Cabrera,0,282,12,15,765,120,1,0,,,
47,6,J.Jones,0,235,11,23,765,126,2,0,,,
47,7,Stewart,1,233,10,23,754,120,2,0,,,
47,8,Rodrigue,0,221,14,25,781,123,1,0,,,
47,9,H.Castro,1,291,5,14,730,124,1,0,,,
47,10,D.Lugo,0,245,6,21,735,122,1,0,,,
47,11,Beckham,0,215,6,26,735,123,1,0,,,
47,12,Candelar,0,203,8,27,745,123,1,1,,,
47,13,J.Hicks,0,210,13,26,769,120,0,0,,,
48,0,Laureano,0,288,24,14,841,129,2,0,,,
48,1,M.Canha,0,273,26,17,850,122,2,0,,,
48,2,M.Semien,0,285,33,15,886,125,1,0,,,
48,3,M.Olson,1,267,36,18,903,120,1,0,,,
48,4,Chapman,0,249,36,21,899,122,1,0,,,
48,5,S.Brown,1,293,0,13,714,122,2,0,,,
48,6,Piscotty,0,249,13,21,772,122,2,0,,,
48,7,J.Profar,0,218,20,25,807,127,1,1,,,
48,8,C.Pinder,0,240,13,22,773,120,2,0,,,
48,9,Phegley,0,239,12,22,767,120,0,0,,,
48,10,Grossman,0,240,6,22,735,126,2,1,,,
48,11,K.Davis,0,220,23,25,819,120,2,0,,,
48,12,Morales,0,204,1,27,710,120,1,1,,,
48,13,Herrmann,1,202,1,27,710,120,0,0,,,
49,0,Kingery,0,258,19,19,810,131,2,0,,,
49,1,Dickerso,1,293,8,13,768,121,2,0,,,
49,2,McCutche,0,256,10,20,764,122,2,0,,,
49,3,B.Harper,1,260,35,19,894,130,2,0,,,
49,4,Realmuto,0,275,25,16,842,128,0,0,,,
49,5,Hoskins,0,226,29,24,857,124,1,0,,,
49,6,J.Bruce,1,221,12,25,780,120,2,0,,,
49,7,J.Segura,0,280,12,16,769,128,1,0,,,
49,8,Hernande,0,279,14,16,777,127,1,1,,,
49,9,Haseley,1,266,5,18,730,123,2,0,,,
49,10,Rodrigue,0,223,4,25,725,120,1,0,,,
49,11,M.Franco,0,234,17,23,792,120,1,0,,,
49,12,A.Knapp,0,213,2,26,715,120,0,1,,,
49,13,Herrera,1,222,1,25,710,122,2,0,,,
50,0,S.Marte,0,295,23,13,834,137,2,0,,,
50,1,Reynolds,0,314,16,9,799,123,2,1,,,
50,2,K.Newman,0,308,12,10,772,129,1,0,,,
50,3,J.Bell,0,277,37,16,911,121,1,1,,,
50,4,J.Osuna,0,264,10,18,764,120,1,0,,,
50,5,C.Moran,1,277,13,16,775,120,1,0,,,
50,6,Frazier,1,278,10,16,758,126,1,0,,,
50,7,Polanco,1,242,6,22,740,122,2,0,,,
50,8,Cabrera,0,280,7,16,740,122,2,1,,,
50,9,Stalling,0,262,6,19,735,120,0,0,,,
50,10,C.Tucker,0,211,2,26,715,122,1,1,,,
50,11,J.Kang,0,169,10,31,754,120,1,0,,,
50,12,E.Diaz,0,241,2,22,715,120,0,0,,,
50,13,P.Reyes,0,203,2,27,715,122,2,0,,,
51,0,M.Margot,0,234,12,23,764,134,2,0,,,
51,1,F.Tatis,0,317,22,9,839,131,1,0,,,
51,2,F.Reyes,0,255,27,20,857,120,2,0,,,
51,3,Renfroe,0,216,33,25,882,125,2,0,,,
51,4,Machado,0,256,32,20,873,123,1,0,,,
51,5,F.Mejia,0,265,8,18,751,122,0,1,,,
51,6,W.Myers,0,239,18,22,798,128,2,0,,,
51,7,E.Hosmer,1,265,22,18,819,120,1,0,,,
51,8,J.Naylor,1,249,8,21,746,120,2,0,,,
51,9,G.Garcia,1,248,4,21,725,121,1,0,,,
51,10,T.France,0,234,7,23,741,120,1,0,,,
51,11,L.Urias,0,223,4,25,725,120,1,0,,,
51,12,Kinsler,0,217,9,25,750,120,1,0,,,
51,13,A.Hedges,0,176,11,30,759,121,0,0,,,
52,0,T.Pham,0,273,21,17,817,136,2,0,,,
52,1,B.Lowe,1,270,17,17,805,125,1,0,,,
52,2,J.Choi,1,261,19,19,809,122,1,0,,,
52,3,Meadows,1,291,33,14,890,128,2,0,,,
52,4,Y.Diaz,0,267,14,18,786,122,1,0,,,
52,5,A.Garcia,0,282,20,15,814,126,2,0,,,
52,6,dArnaud,0,263,16,18,794,120,0,0,,,
52,7,N.Lowe,1,263,7,18,749,120,1,0,,,
52,8,W.Adames,0,254,20,20,808,122,1,0,,,
52,9,Kiermaie,1,228,14,24,775,134,2,0,,,
52,10,Heredia,0,225,5,24,730,121,2,0,,,
52,11,J.Wendle,1,231,3,23,720,125,1,0,,,
52,12,Robertso,0,213,2,26,715,122,1,0,,,
52,13,M.Zunino,0,165,9,32,750,120,0,0,,,
53,0,Mondesi,0,263,9,18,754,150,1,1,,,
53,1,H.Dozier,0,279,26,16,851,126,1,0,,,
53,2,Merrifie,0,302,16,12,794,133,1,0,,,
53,3,J.Soler,0,265,48,18,965,122,2,0,,,
53,4,A.Gordon,1,266,13,18,769,122,2,0,,,
53,5,Gallaghe,0,238,3,22,720,120,0,0,,,
53,6,Cuthbert,0,246,9,21,750,121,1,0,,,
53,7,Maldonad,0,227,6,24,735,120,0,0,,,
53,8,R.OHearn,1,195,14,28,774,120,1,0,,,
53,9,N.Lopez,1,240,2,22,715,122,1,0,,,
53,10,Starling,0,215,4,26,725,122,2,0,,,
53,11,Viloria,1,211,1,26,710,120,0,0,,,
53,12,Hamilton,0,211,0,26,705,131,2,1,,,
53,13,C.Owings,0,133,2,35,715,123,1,0,,,
54,0,M.Smith,1,227,6,24,735,150,2,0,,,
54,1,Encarnac,0,241,21,22,827,120,1,0,,,
54,2,T.Murphy,0,273,18,17,813,122,0,0,,,
54,3,Vogelbac,1,208,30,27,860,120,1,0,,,
54,4,Narvaez,1,278,22,16,824,120,0,0,,,
54,5,A.Nola,0,269,10,17,763,122,1,0,,,
54,6,K.Seager,1,239,23,22,830,122,1,0,,,
54,7,Haniger,0,220,15,25,789,124,2,0,,,
54,8,Santana,0,253,21,20,816,125,2,0,,,
54,9,Beckham,0,237,15,23,789,120,1,0,,,
54,10,R.Healy,0,237,7,23,749,120,1,0,,,
54,11,D.Moore,0,206,9,27,750,123,1,0,,,
54,12,Crawford,1,226,7,24,740,124,1,0,,,
54,13,D.Gordon,1,275,3,16,720,136,1,0,,,
55,0,T.Turner,0,298,19,12,813,144,1,0,,,
55,1,Cabrera,0,323,6,7,757,120,1,1,,,
55,2,Kendrick,0,344,17,3,812,122,1,0,,,
55,3,A.Rendon,0,319,34,8,899,125,1,0,,,
55,4,J.Soto,1,282,34,15,893,131,2,0,,,
55,5,K.Suzuki,0,264,17,18,802,120,0,0,,,
55,6,A.Eaton,1,279,15,16,785,133,2,0,,,
55,7,B.Dozier,0,238,20,22,810,121,1,0,,,
55,8,G.Parra,1,250,8,21,753,124,2,0,,,
55,9,V.Robles,0,255,17,20,793,136,2,0,,,
55,10,M.Adams,1,226,20,24,814,120,1,0,,,
55,11,Zimmerma,0,257,6,19,738,120,1,0,,,
55,12,Y.Gomes,0,223,12,25,764,122,0,0,,,
55,13,W.Difo,0,252,2,20,715,120,1,1,,,
56,0,K.Wong,1,285,11,15,764,137,1,0,,,
56,1,T.Edman,0,304,11,11,774,134,1,1,,,
56,2,M.Ozuna,0,241,29,22,860,128,2,0,,,
56,3,Goldschm,0,260,34,19,885,122,1,0,,,
56,4,P.DeJong,0,233,30,23,861,124,1,0,,,
56,5,D.Fowler,0,238,19,22,801,123,2,1,,,
56,6,Martinez,0,269,10,17,757,124,2,0,,,
56,7,Carpente,1,226,15,24,779,125,1,0,,,
56,8,T.ONeill,0,262,5,19,733,121,2,0,,,
56,9,Y.Molina,0,270,10,17,755,125,0,0,,,
56,10,Wieters,0,214,11,26,766,120,0,1,,,
56,11,H.Bader,0,205,12,27,764,128,2,0,,,
56,12,Y.Munoz,0,267,2,18,715,125,1,0,,,
56,13,J.Gyorko,0,196,2,28,715,122,1,0,,,
57,0,K.Pillar,0,264,21,18,816,129,2,0,,,
57,1,Dickerso,1,290,6,14,753,122,2,0,,,
57,2,Sandoval,0,268,14,18,790,121,1,1,,,
57,3,Yastrzem,1,272,21,17,826,122,2,0,,,
57,4,D.Solano,0,330,4,6,734,120,1,0,,,
57,5,S.Vogt,1,263,10,18,768,123,0,0,,,
57,6,Longoria,0,254,20,20,811,123,1,0,,,
57,7,A.Slater,0,238,5,22,733,122,2,0,,,
57,8,B.Belt,1,234,17,23,791,122,1,0,,,
57,9,B.Posey,0,257,7,19,740,120,0,0,,,
57,10,T.Austin,0,185,8,29,746,122,2,0,,,
57,11,Crawford,1,228,11,24,759,122,1,0,,,
57,12,J.Panik,1,235,3,23,720,122,1,0,,,
57,13,S.Duggar,1,234,4,23,725,120,2,0,,,
58,0,C.Biggio,1,234,16,23,790,132,1,0,,,
58,1,Bichette,0,311,11,10,782,122,1,0,,,
58,2,Gurriel,0,277,20,16,823,123,2,0,,,
58,3,Grichuk,0,232,31,23,868,124,2,0,,,
58,4,E.Sogard,1,300,10,12,766,126,1,0,,,
58,5,Hernande,0,230,26,24,845,124,2,0,,,
58,6,Guerrero,0,272,15,17,785,120,1,0,,,
58,7,J.Smoak,0,208,22,27,816,120,1,1,,,
58,8,F.Galvis,0,267,18,18,802,123,1,1,,,
58,9,R.Tellez,1,227,21,24,817,120,1,0,,,
58,10,McKinney,1,215,12,26,769,120,2,0,,,
58,11,B.Drury,0,218,15,25,779,120,1,0,,,
58,12,D.Jansen,0,207,13,27,769,120,0,0,,,
58,13,L.Maile,0,151,2,33,715,122,0,0,,,
59,0,B.Buxton,0,262,10,19,771,131,2,0,,,
59,1,M.Garver,0,273,31,17,888,120,0,0,,,
59,2,M.Sano,0,247,34,21,897,120,1,0,,,
59,3,M.Kepler,1,252,36,20,900,118,2,0,,,
59,4,Polanco,0,295,22,13,827,124,1,1,,,
59,5,L.Arraez,1,334,4,5,732,122,1,0,,,
59,6,J.Cave,1,258,8,19,754,121,2,0,,,
59,7,Rosario,1,276,32,16,878,122,2,0,,,
59,8,C.Cron,0,253,25,20,840,120,1,0,,,
59,9,J.Schoop,0,256,23,20,830,121,1,0,,,
59,10,J.Castro,1,232,13,23,776,120,0,0,,,
59,11,Adrianza,0,272,5,17,733,120,1,1,,,
59,12,Gonzalez,0,264,15,18,783,121,1,1,,,
59,13,Astudill,0,268,4,18,725,120,1,0,,,
60,0,E.Andrus,0,275,12,16,764,139,1,0,,,
60,1,J.Gallo,1,253,22,20,840,122,2,0,,,
60,2,H.Pence,0,297,18,12,815,125,2,0,,,
60,3,R.Odor,1,205,30,27,860,122,1,0,,,
60,4,Santana,0,283,28,15,862,134,1,1,,,
60,5,Calhoun,1,269,21,17,826,120,2,0,,,
60,6,S.Choo,1,265,24,18,833,132,2,0,,,
60,7,N.Mazara,1,268,19,18,810,123,2,0,,,
60,8,R.Guzman,1,219,10,25,758,120,1,0,,,
60,9,Cabrera,0,235,12,23,764,123,1,1,,,
60,10,Forsythe,0,227,7,24,740,122,1,0,,,
60,11,DeShield,0,249,4,21,725,135,2,0,,,
60,12,KinerFal,0,238,1,22,710,123,0,0,,,
60,13,J.Mathis,0,158,2,32,715,121,0,0,,,
:(pitchers)DONT CHANGE,lineup# DONT CHANGE,Name,SinkerVal,Stance,ERA,SinkSpd,RegSpd,FastSpd,LCurve,RCurve,Stamina,CPU1,CPU2
31,14,Teheran,5,0,3.81,170,181,208,7,5,49,115,141
31,15,M.Fried,5,1,4.02,172,184,211,5,7,48,119,138
31,16,M.Soroka,10,0,2.68,166,179,205,10,7,51,120,137
31,17,Foltynew,7,0,4.54,169,181,208,8,5,50,120,136
31,18,Jackson,4,0,3.84,173,189,215,6,4,15,115,141
31,19,Keuchel,5,1,3.75,166,179,205,4,7,15,116,141
31,20,Gausman,4,0,6.19,173,184,211,5,3,15,115,141
31,21,J.Tomlin,9,0,3.74,158,174,199,10,7,15,112,144
31,22,Newcomb,6,1,3.16,170,182,209,5,7,15,120,138
31,23,Toussain,2,0,5.62,173,185,211,3,2,15,120,137
32,14,Darvish,10,0,3.98,175,187,214,10,7,50,116,140
32,15,Quintana,5,1,4.68,168,181,207,4,6,49,113,143
32,16,J.Lester,3,1,4.46,170,182,209,3,5,50,120,136
32,17,Hendrick,9,0,3.46,167,180,206,10,6,51,120,138
32,18,Kimbrel,3,0,6.53,174,189,215,4,3,15,113,143
32,19,C.Hamels,5,1,3.81,172,183,210,4,6,15,113,142
32,20,Chatwood,5,0,3.76,171,182,209,7,5,15,113,142
32,21,S.Cishek,8,0,2.95,169,181,207,9,6,15,119,138
32,22,K.Ryan,5,1,3.54,170,182,209,4,7,15,120,136
32,23,Kintzler,12,0,2.68,167,179,206,11,7,15,122,136
33,14,R.Ray,5,1,4.34,174,188,214,5,7,49,112,144
33,15,M.Kelly,6,0,4.42,168,180,207,7,5,50,113,143
33,16,Greinke,12,0,2.9,170,181,208,12,8,52,120,137
33,17,A.Young,8,1,3.56,167,180,206,6,9,48,125,134
33,18,Bradley,4,0,3.52,174,187,213,6,4,15,118,139
33,19,T.Clarke,5,0,5.31,166,178,205,7,4,15,114,141
33,20,Z.Godley,3,0,6.39,164,177,204,5,3,15,120,136
33,21,Andriese,4,0,4.71,174,185,212,6,4,15,120,138
33,22,L.Weaver,11,0,2.94,173,184,211,10,7,15,119,138
33,23,Y.Lopez,9,0,3.41,161,175,201,10,6,15,119,138
34,14,D.Bundy,5,0,4.79,171,183,210,7,5,49,113,143
34,15,J.Means,9,1,3.6,165,178,204,6,10,48,117,139
34,16,Cashner,8,0,3.83,161,175,200,9,6,50,120,137
34,17,Wojciech,6,0,4.92,171,182,209,7,5,48,123,136
34,18,M.Givens,8,0,4.57,174,188,214,9,6,15,113,143
34,19,G.Ynoa,5,0,5.61,157,172,197,7,4,15,120,137
34,20,D.Hess,3,0,7.09,167,180,206,4,3,15,120,138
34,21,M.Castro,4,0,4.66,171,182,209,6,4,15,119,138
34,22,A.Brooks,3,0,6.18,159,174,199,5,3,15,119,138
34,23,P.Fry,4,1,5.34,170,182,209,4,6,15,123,136
35,14,I.Nova,4,0,4.72,157,172,197,6,4,50,115,141
35,15,R.Lopez,4,0,5.38,169,181,208,6,4,50,112,143
35,16,Giolito,11,0,3.41,175,188,214,10,7,51,118,139
35,17,D.Cease,3,0,5.79,173,185,212,4,3,49,118,139
35,18,A.Colome,11,0,2.8,169,181,208,10,7,15,113,143
